Question,Option A,Option B,Option C,Option D,Correct Option
"What is data?","Processed information","Raw facts and figures","Knowledge","Report","B"
"Which of the following is data?","Student report","85, 90, 75","Annual summary","Result sheet","B"
"Information is obtained by:","Storing data","Processing data","Deleting data","Sharing data","B"
"Which characteristic means information is correct?","Timeliness","Accuracy","Cost","Relevance","B"
"Which of the following is information?","Marks entered into a system","Student attendance numbers","Average class mark report","Raw survey answers","C"
"Data can be represented using:","Numbers","Text","Images","All of the above","D"
"The main purpose of information is:","Entertainment","Decision making","Programming","Storage","B"
"Raw facts are known as:","Information","Knowledge","Data","Reports","C"
"A weather report is:","Data","Information","Program","Input","B"
"Which one is NOT information?","Monthly sales report","Student performance summary","Profit analysis","List of marks before calculation","D"
"What converts data into information?","Input","Processing","Storage","Output","B"
"Which characteristic ensures information contains all required details?","Accuracy","Timeliness","Completeness","Relevance","C"
"Why is timely information important?","Reduces storage","Helps current decision making","Increases speed","Saves electricity","B"
"A student’s final report card is:","Data","Information","Instruction","Program","B"
"Which of the following best represents processing?","Entering exam marks","Calculating class average","Printing marks","Saving a file","B"
"Information that is unrelated to a task lacks:","Accuracy","Completeness","Relevance","Timeliness","C"
"A company manager uses information mainly to:","Increase storage","Make decisions","Upgrade hardware","Create software","B"
"Which characteristic of information reduces the chance of incorrect decisions?","Accuracy","Size","Color","Format","A"
"A list of temperatures recorded every hour is:","Information","Data","Knowledge","Report","B"
"Which statement is true?","Data is always meaningful","Information is always raw","Information results from processing data","Information cannot be stored","C"
"A school collects student marks and calculates the pass percentage. The pass percentage is:","Data","Input","Information","Storage","C"
"Which characteristic is most important when using information for emergency medical decisions?","Color","Timeliness","Format","Size","B"
"A company receives 10,000 sales records. After analysis, management receives a sales trend report. The report is:","Data","Information","Input device","Program","B"
"Which combination represents good quality information?","Accurate, Complete, Relevant","Large, Colorful, Detailed","Fast, Cheap, Large","Complex, Technical, Long","A"
"Which scenario demonstrates the transformation of data into information?","Entering marks into a database","Printing blank forms","Generating student rankings from marks","Saving records","C"
"Why might incomplete information be dangerous?","Uses more storage","Leads to poor decisions","Slows the computer","Increases memory usage","B"
"A business analyst uses customer purchase records to identify buying patterns. The identified patterns are:","Data","Information","Hardware","Input","B"
"Which of the following is the best example of relevant information?","Weather data for another country","Student marks from last decade","Current semester performance report","Old attendance records","C"
"The quality of information depends on:","Processing and accuracy of data","Screen size","Printer type","Internet speed only","A"
"A hospital system records patient temperatures every hour. The temperature readings are data, while the diagnosis generated from them is:","Storage","Data","Information","Input","C"
